Iteration 1
GamingReplay;20;8
Leonor;500.0;0.45;0.5
Henrique;500.0;0.6;0.5
Afonso;500.0;0.36;0.5
Gustavo;500.0;0.8;0.5
Sónia;500.0;0.91;0.5
Manel;500.0;0.8;0.5
Diogo;500.0;0.81;0.5
Mariana;500.0;0.1;0.5
Marisa;500.0;0.4;0.5
Pedro;500.0;0.28;0.5
Chico;500.0;0.2;0.5
Ricardo;500.0;0.5;0.5
Carolina;500.0;0.89;0.5
João;500.0;0.25;0.5
Sara;500.0;0.78;0.5
Maria;500.0;0.3;0.5
﻿Mafalda;500.0;1.0;0.5
Ana;500.0;0.1;0.5
Emanuel;500.0;0.99;0.5
Duarte;500.0;0.67;0.5
Bertrand;20;0
IKEA;20;0
McDonalds;20;12
﻿Fnac;20;0
Zara;20;0
Iteration 2
GamingReplay;20;8
Bertrand;20;0
IKEA;20;0
McDonalds;20;12
Leonor;500.0;0.45;0.25
Gustavo;500.0;0.8;0.25
Henrique;500.0;0.6;0.25
Afonso;500.0;0.36;0.25
Sónia;500.0;0.91;0.25
Manel;500.0;0.8;0.25
﻿Fnac;20;0
Diogo;500.0;0.81;0.25
Mariana;500.0;0.1;0.25
Pedro;500.0;0.28;0.25
Marisa;500.0;0.4;0.25
Zara;20;0
Chico;500.0;0.2;0.25
Ricardo;500.0;0.5;0.25
Carolina;500.0;0.89;0.25
Sara;500.0;0.78;0.25
João;500.0;0.25;0.25
﻿Mafalda;500.0;1.0;0.25
Maria;500.0;0.3;0.25
Ana;500.0;0.1;0.25
Emanuel;500.0;0.99;0.25
Duarte;500.0;0.67;0.25
Iteration 3
GamingReplay;20;8
Bertrand;20;0
IKEA;20;0
McDonalds;20;12
﻿Fnac;20;0
Zara;20;0
Leonor;500.0;0.45;0.13
Gustavo;500.0;0.8;0.13
Henrique;500.0;0.6;0.13
Afonso;500.0;0.36;0.13
Sónia;500.0;0.91;0.13
Manel;500.0;0.8;0.13
Diogo;500.0;0.81;0.13
Mariana;500.0;0.1;0.13
Marisa;500.0;0.4;0.13
Pedro;500.0;0.28;0.13
Chico;500.0;0.2;0.13
Ricardo;500.0;0.5;0.13
Carolina;500.0;0.89;0.13
Sara;500.0;0.78;0.13
João;500.0;0.25;0.13
﻿Mafalda;500.0;1.0;0.13
Maria;500.0;0.3;0.13
Ana;500.0;0.1;0.13
Emanuel;500.0;0.99;0.13
Duarte;500.0;0.67;0.13
