Iteration 1
Bertrand;20;5
GamingReplay;20;0
McDonalds;20;12
IKEA;20;0
﻿Fnac;20;3
Pedro;50.0;0.28;0.5
Marisa;50.0;0.4;0.5
Mariana;50.0;0.1;0.5
Leonor;50.0;0.45;0.5
Afonso;50.0;0.36;0.5
Henrique;50.0;0.6;0.5
Sónia;50.0;0.91;0.5
Diogo;50.0;0.81;0.5
Gustavo;50.0;0.8;0.5
Manel;50.0;0.8;0.5
Chico;50.0;0.2;0.5
Carolina;50.0;0.89;0.5
Ricardo;50.0;0.5;0.5
João;50.0;0.25;0.5
Sara;50.0;0.78;0.5
Maria;50.0;0.3;0.5
﻿Mafalda;50.0;1.0;0.5
Ana;50.0;0.1;0.5
Emanuel;50.0;0.99;0.5
Duarte;50.0;0.67;0.5
Zara;20;0
Iteration 2
GamingReplay;20;5
Bertrand;20;0
Leonor;50.0;0.45;0.25
Gustavo;50.0;0.8;0.25
Henrique;50.0;0.6;0.25
Afonso;50.0;0.36;0.25
Sónia;50.0;0.91;0.25
Manel;50.0;0.8;0.25
Diogo;50.0;0.81;0.25
Mariana;50.0;0.1;0.25
Marisa;50.0;0.4;0.25
Pedro;50.0;0.28;0.25
Chico;50.0;0.2;0.25
Ricardo;50.0;0.5;0.25
Carolina;50.0;0.89;0.25
Sara;50.0;0.78;0.25
IKEA;20;0
João;50.0;0.25;0.25
﻿Mafalda;50.0;1.0;0.25
McDonalds;20;12
Maria;50.0;0.3;0.25
﻿Fnac;20;3
Zara;20;0
Ana;50.0;0.1;0.25
Emanuel;50.0;0.99;0.25
Duarte;50.0;0.67;0.25
Iteration 3
GamingReplay;20;5
Bertrand;20;0
IKEA;20;0
Leonor;50.0;0.45;0.13
Gustavo;50.0;0.8;0.13
Henrique;50.0;0.6;0.13
McDonalds;20;12
Afonso;50.0;0.36;0.13
﻿Fnac;20;3
Zara;20;0
Sónia;50.0;0.91;0.13
Diogo;50.0;0.81;0.13
Manel;50.0;0.8;0.13
Mariana;50.0;0.1;0.13
Marisa;50.0;0.4;0.13
Pedro;50.0;0.28;0.13
Chico;50.0;0.2;0.13
Ricardo;50.0;0.5;0.13
Carolina;50.0;0.89;0.13
Sara;50.0;0.78;0.13
João;50.0;0.25;0.13
﻿Mafalda;50.0;1.0;0.13
Maria;50.0;0.3;0.13
Emanuel;50.0;0.99;0.13
Ana;50.0;0.1;0.13
Duarte;50.0;0.67;0.13
