Iteration 1
Sara;500.0;0.78;0.65
GamingReplay;20;8
Duarte;500.0;0.67;0.65
Carolina;500.0;0.89;0.65
Bertrand;20;3
Emanuel;500.0;0.99;0.65
Ricardo;500.0;0.5;0.6
Ana;500.0;0.1;0.6
Chico;500.0;0.2;0.65
João;500.0;0.25;0.6
Maria;500.0;0.3;0.57
Pedro;500.0;0.28;0.6
﻿Mafalda;500.0;1.0;0.57
Mariana;500.0;0.1;0.65
Marisa;500.0;0.4;0.6
Diogo;500.0;0.81;0.65
Zara;20;3
﻿Fnac;20;6
McDonalds;20;0
Manel;500.0;0.8;0.65
Sónia;500.0;0.91;0.57
Afonso;500.0;0.36;0.6
IKEA;20;0
Henrique;500.0;0.6;0.65
Leonor;500.0;0.45;0.65
Gustavo;500.0;0.8;0.65
Iteration 2
GamingReplay;20;8
Bertrand;20;3
IKEA;20;0
McDonalds;20;0
Gustavo;500.0;0.8;0.48
Leonor;500.0;0.45;0.48
Henrique;500.0;0.6;0.48
Marisa;500.0;0.4;0.4
Sónia;500.0;0.91;0.35
Afonso;500.0;0.36;0.4
Manel;500.0;0.8;0.48
Mariana;500.0;0.1;0.48
Diogo;500.0;0.81;0.48
Chico;500.0;0.2;0.48
Pedro;500.0;0.28;0.4
Ricardo;500.0;0.5;0.4
Carolina;500.0;0.89;0.48
﻿Fnac;20;6
Zara;20;3
Sara;500.0;0.78;0.48
João;500.0;0.25;0.4
﻿Mafalda;500.0;1.0;0.35
Maria;500.0;0.3;0.35
Ana;500.0;0.1;0.4
Duarte;500.0;0.67;0.48
Emanuel;500.0;0.99;0.48
Iteration 3
Bertrand;20;3
GamingReplay;20;8
IKEA;20;0
McDonalds;20;0
﻿Fnac;20;6
Zara;20;3
Leonor;500.0;0.45;0.39
Gustavo;500.0;0.8;0.39
Henrique;500.0;0.6;0.39
Afonso;500.0;0.36;0.3
Sónia;500.0;0.91;0.24
Manel;500.0;0.8;0.39
Diogo;500.0;0.81;0.39
Mariana;500.0;0.1;0.39
Marisa;500.0;0.4;0.3
Pedro;500.0;0.28;0.3
Chico;500.0;0.2;0.39
Ricardo;500.0;0.5;0.3
Carolina;500.0;0.89;0.39
Sara;500.0;0.78;0.39
João;500.0;0.25;0.3
﻿Mafalda;500.0;1.0;0.24
Maria;500.0;0.3;0.24
Ana;500.0;0.1;0.3
Emanuel;500.0;0.99;0.39
Duarte;500.0;0.67;0.39
