Iteration 1
GamingReplay;20;8
Bertrand;20;3
IKEA;20;0
McDonalds;20;0
Sónia;49.0;0.8;0.57
Henrique;300.0;0.8;0.65
Afonso;57.0;0.8;0.6
Leonor;38.0;0.8;0.65
Pedro;76.0;0.8;0.6
Gustavo;388.0;0.8;0.65
Manel;420.0;0.8;0.65
Mariana;35.0;0.8;0.65
Marisa;99.0;0.8;0.6
Diogo;340.0;0.8;0.65
Chico;120.0;0.8;0.65
Ricardo;50.0;0.8;0.6
Carolina;560.0;0.8;0.65
Sara;69.0;0.8;0.65
João;20.0;0.8;1.0
Maria;84.0;0.8;0.57
﻿Mafalda;2000.0;0.8;0.57
Ana;279.0;0.8;0.6
Emanuel;700.0;0.8;0.65
Duarte;160.0;0.8;0.65
﻿Fnac;20;5
Zara;20;3
Iteration 2
GamingReplay;20;8
Bertrand;20;3
IKEA;20;0
McDonalds;20;0
Leonor;38.0;0.8;0.48
﻿Fnac;20;5
Gustavo;388.0;0.8;0.48
Zara;20;3
Henrique;300.0;0.8;0.48
Afonso;57.0;0.8;0.4
Sónia;49.0;0.8;0.35
Manel;420.0;0.8;0.48
Diogo;340.0;0.8;0.48
Mariana;35.0;0.8;0.48
Marisa;99.0;0.8;0.4
Pedro;76.0;0.8;0.4
Chico;120.0;0.8;0.48
Ricardo;50.0;0.8;0.4
Carolina;560.0;0.8;0.48
Sara;69.0;0.8;0.48
João;20.0;0.8;1.0
Maria;84.0;0.8;0.35
﻿Mafalda;2000.0;0.8;0.35
Ana;279.0;0.8;0.4
Emanuel;700.0;0.8;0.48
Duarte;160.0;0.8;0.48
Iteration 3
GamingReplay;20;8
Bertrand;20;3
Leonor;38.0;0.8;0.39
IKEA;20;0
McDonalds;20;0
﻿Fnac;20;5
Zara;20;3
Gustavo;388.0;0.8;0.39
Henrique;300.0;0.8;0.39
Afonso;57.0;0.8;0.3
Sónia;49.0;0.8;0.24
Manel;420.0;0.8;0.39
Diogo;340.0;0.8;0.39
Mariana;35.0;0.8;0.39
Marisa;99.0;0.8;0.3
Pedro;76.0;0.8;0.3
Chico;120.0;0.8;0.39
Ricardo;50.0;0.8;0.3
Carolina;560.0;0.8;0.39
Sara;69.0;0.8;0.39
João;20.0;0.8;1.0
﻿Mafalda;2000.0;0.8;0.24
Maria;84.0;0.8;0.24
Ana;279.0;0.8;0.3
Duarte;160.0;0.8;0.39
Emanuel;700.0;0.8;0.39
