Iteration 1
GamingReplay;20;8
IKEA;20;0
Bertrand;20;3
Pedro;50.0;0.28;0.6
Mariana;50.0;0.1;0.65
Leonor;50.0;0.45;0.65
Manel;50.0;0.8;0.65
Gustavo;50.0;0.8;0.65
Henrique;50.0;0.6;0.65
Afonso;50.0;0.36;0.6
Sónia;50.0;0.91;0.57
Diogo;50.0;0.81;0.65
Chico;50.0;0.2;0.65
Ricardo;50.0;0.5;0.6
Marisa;50.0;0.4;0.6
Sara;50.0;0.78;0.65
Carolina;50.0;0.89;0.65
João;50.0;0.25;0.6
﻿Mafalda;50.0;1.0;0.57
McDonalds;20;0
Zara;20;3
Emanuel;50.0;0.99;0.65
﻿Fnac;20;6
Duarte;50.0;0.67;0.65
Maria;50.0;0.3;0.57
Ana;50.0;0.1;0.6
Iteration 2
GamingReplay;20;7
Bertrand;20;3
IKEA;20;1
McDonalds;20;0
﻿Fnac;20;6
Zara;20;3
Leonor;50.0;0.45;0.48
Gustavo;50.0;0.8;0.48
Henrique;50.0;0.6;0.48
Sónia;50.0;0.91;0.35
Afonso;50.0;0.36;0.4
Diogo;50.0;0.81;0.48
Manel;50.0;0.8;0.48
Mariana;50.0;0.1;0.48
Pedro;50.0;0.28;0.4
Marisa;50.0;0.4;0.4
Chico;50.0;0.2;0.48
Ricardo;50.0;0.5;0.4
Sara;50.0;0.78;0.48
Carolina;50.0;0.89;0.48
João;50.0;0.25;0.4
﻿Mafalda;50.0;1.0;0.35
Emanuel;50.0;0.99;0.48
Maria;50.0;0.3;0.35
Ana;50.0;0.1;0.4
Duarte;50.0;0.67;0.48
Iteration 3
GamingReplay;20;8
Bertrand;20;3
IKEA;20;0
McDonalds;20;0
Leonor;50.0;0.45;0.39
﻿Fnac;20;6
Zara;20;3
Gustavo;50.0;0.8;0.39
Henrique;50.0;0.6;0.39
Afonso;50.0;0.36;0.3
Sónia;50.0;0.91;0.24
Manel;50.0;0.8;0.39
Diogo;50.0;0.81;0.39
Marisa;50.0;0.4;0.3
Mariana;50.0;0.1;0.39
Pedro;50.0;0.28;0.3
Chico;50.0;0.2;0.39
Ricardo;50.0;0.5;0.3
Carolina;50.0;0.89;0.39
Sara;50.0;0.78;0.39
João;50.0;0.25;0.3
﻿Mafalda;50.0;1.0;0.24
Maria;50.0;0.3;0.24
Ana;50.0;0.1;0.3
Emanuel;50.0;0.99;0.39
Duarte;50.0;0.67;0.39
