Iteration 1
GamingReplay;20;5
Bertrand;20;3
IKEA;20;3
Manel;420.0;0.1;0.65
Diogo;340.0;0.1;0.65
Sónia;49.0;0.1;0.57
Leonor;38.0;0.1;0.65
Afonso;57.0;0.1;0.6
Henrique;300.0;0.1;0.65
Gustavo;388.0;0.1;0.65
Mariana;35.0;0.1;0.65
Marisa;99.0;0.1;0.6
Pedro;76.0;0.1;0.6
Chico;120.0;0.1;0.65
Ricardo;50.0;0.1;0.6
Carolina;560.0;0.1;0.65
João;20.0;0.1;1.0
Sara;69.0;0.1;0.65
Maria;84.0;0.1;0.57
﻿Mafalda;2000.0;0.1;0.57
Ana;279.0;0.1;0.6
Duarte;160.0;0.1;0.65
Emanuel;700.0;0.1;0.65
﻿Fnac;20;5
McDonalds;20;0
Zara;20;3
Iteration 2
GamingReplay;20;8
Gustavo;388.0;0.1;0.48
Leonor;38.0;0.1;0.48
Afonso;57.0;0.1;0.4
Henrique;300.0;0.1;0.48
Sónia;49.0;0.1;0.35
Zara;20;3
IKEA;20;0
Bertrand;20;3
McDonalds;20;0
﻿Fnac;20;5
Manel;420.0;0.1;0.48
Diogo;340.0;0.1;0.48
Mariana;35.0;0.1;0.48
Ricardo;50.0;0.1;0.4
Chico;120.0;0.1;0.48
Marisa;99.0;0.1;0.4
Pedro;76.0;0.1;0.4
Sara;69.0;0.1;0.48
João;20.0;0.1;1.0
Carolina;560.0;0.1;0.48
﻿Mafalda;2000.0;0.1;0.35
Maria;84.0;0.1;0.35
Emanuel;700.0;0.1;0.48
Duarte;160.0;0.1;0.48
Ana;279.0;0.1;0.4
Iteration 3
Bertrand;20;3
GamingReplay;20;8
IKEA;20;0
Leonor;38.0;0.1;0.39
McDonalds;20;0
﻿Fnac;20;5
Gustavo;388.0;0.1;0.39
Henrique;300.0;0.1;0.39
Afonso;57.0;0.1;0.3
Zara;20;3
Sónia;49.0;0.1;0.24
Diogo;340.0;0.1;0.39
Manel;420.0;0.1;0.39
Mariana;35.0;0.1;0.39
Marisa;99.0;0.1;0.3
Chico;120.0;0.1;0.39
Pedro;76.0;0.1;0.3
Ricardo;50.0;0.1;0.3
Sara;69.0;0.1;0.39
João;20.0;0.1;1.0
﻿Mafalda;2000.0;0.1;0.24
Maria;84.0;0.1;0.24
Ana;279.0;0.1;0.3
Emanuel;700.0;0.1;0.39
Duarte;160.0;0.1;0.39
Carolina;560.0;0.1;0.39
