Iteration 1
GamingReplay;4;4
Bertrand;4;3
IKEA;4;0
McDonalds;4;0
Leonor;500.0;0.45;1.0
Afonso;500.0;0.36;1.0
Sónia;500.0;0.91;0.57
Diogo;500.0;0.81;0.65
Manel;500.0;0.8;0.65
Chico;500.0;0.2;0.65
Pedro;500.0;0.28;0.6
Marisa;500.0;0.4;0.6
Sara;500.0;0.78;0.65
﻿Mafalda;500.0;1.0;0.57
João;500.0;0.25;1.0
Duarte;500.0;0.67;0.65
Ana;500.0;0.1;0.6
Gustavo;500.0;0.8;0.65
Carolina;500.0;0.89;0.65
Emanuel;500.0;0.99;0.65
Maria;500.0;0.3;1.0
Ricardo;500.0;0.5;1.0
Mariana;500.0;0.1;1.0
Zara;4;3
﻿Fnac;4;4
Henrique;500.0;0.6;0.65
Iteration 2
GamingReplay;4;2
Bertrand;4;2
IKEA;4;0
﻿Fnac;4;2
McDonalds;4;0
Zara;4;2
Leonor;500.0;0.45;1.0
Henrique;500.0;0.6;0.65
Gustavo;500.0;0.8;0.65
Afonso;500.0;0.36;1.0
Sónia;500.0;0.91;0.57
Manel;500.0;0.8;0.48
Mariana;500.0;0.1;1.0
Diogo;500.0;0.81;0.48
Marisa;500.0;0.4;0.6
Pedro;500.0;0.28;0.6
Chico;500.0;0.2;0.48
Ricardo;500.0;0.5;1.0
Sara;500.0;0.78;0.48
Carolina;500.0;0.89;0.48
João;500.0;0.25;0.6
﻿Mafalda;500.0;1.0;0.57
Maria;500.0;0.3;0.57
Ana;500.0;0.1;0.6
Duarte;500.0;0.67;0.48
Emanuel;500.0;0.99;0.65
Iteration 3
Gustavo;500.0;0.8;0.48
Leonor;500.0;0.45;1.0
Afonso;500.0;0.36;1.0
Henrique;500.0;0.6;0.48
Manel;500.0;0.8;0.39
Sónia;500.0;0.91;0.35
Diogo;500.0;0.81;0.39
Marisa;500.0;0.4;0.6
Mariana;500.0;0.1;1.0
Chico;500.0;0.2;0.48
Carolina;500.0;0.89;0.48
Pedro;500.0;0.28;0.6
Ricardo;500.0;0.5;1.0
Sara;500.0;0.78;0.39
João;500.0;0.25;0.6
﻿Mafalda;500.0;1.0;0.35
Maria;500.0;0.3;0.57
Emanuel;500.0;0.99;0.65
Ana;500.0;0.1;0.6
Duarte;500.0;0.67;0.39
GamingReplay;4;2
McDonalds;4;0
Bertrand;4;2
IKEA;4;0
Zara;4;2
﻿Fnac;4;2
