Iteration 1
GamingReplay;5;5
Bertrand;5;3
Gustavo;500.0;0.8;0.65
Henrique;500.0;0.6;0.65
Afonso;500.0;0.36;0.6
Sónia;500.0;0.91;0.57
Manel;500.0;0.8;0.65
Diogo;500.0;0.81;1.0
Leonor;500.0;0.45;0.65
IKEA;5;0
Mariana;500.0;0.1;0.65
McDonalds;5;0
Marisa;500.0;0.4;0.6
Pedro;500.0;0.28;0.6
Chico;500.0;0.2;0.65
Carolina;500.0;0.89;0.65
Ricardo;500.0;0.5;1.0
Sara;500.0;0.78;0.65
João;500.0;0.25;0.6
Maria;500.0;0.3;1.0
﻿Mafalda;500.0;1.0;0.57
Ana;500.0;0.1;1.0
Emanuel;500.0;0.99;0.65
Duarte;500.0;0.67;0.65
Zara;5;3
﻿Fnac;5;5
Iteration 2
GamingReplay;5;2
Bertrand;5;3
IKEA;5;0
McDonalds;5;0
Leonor;500.0;0.45;0.65
Gustavo;500.0;0.8;0.48
Henrique;500.0;0.6;0.48
﻿Fnac;5;2
Zara;5;3
Afonso;500.0;0.36;0.4
Sónia;500.0;0.91;0.35
Manel;500.0;0.8;0.48
Diogo;500.0;0.81;1.0
Mariana;500.0;0.1;0.65
Marisa;500.0;0.4;0.4
Chico;500.0;0.2;0.48
Pedro;500.0;0.28;0.6
Ricardo;500.0;0.5;1.0
Carolina;500.0;0.89;0.65
Sara;500.0;0.78;0.48
João;500.0;0.25;0.6
﻿Mafalda;500.0;1.0;0.57
Maria;500.0;0.3;1.0
Ana;500.0;0.1;1.0
Emanuel;500.0;0.99;0.48
Duarte;500.0;0.67;0.48
Iteration 3
GamingReplay;5;2
Bertrand;5;2
IKEA;5;0
McDonalds;5;0
Leonor;500.0;0.45;0.65
Gustavo;500.0;0.8;0.48
﻿Fnac;5;2
Henrique;500.0;0.6;0.48
Afonso;500.0;0.36;0.3
Sónia;500.0;0.91;0.24
Zara;5;2
Manel;500.0;0.8;0.39
Mariana;500.0;0.1;0.65
Marisa;500.0;0.4;0.3
Diogo;500.0;0.81;0.65
Pedro;500.0;0.28;0.6
Chico;500.0;0.2;0.39
Ricardo;500.0;0.5;1.0
Carolina;500.0;0.89;0.65
Sara;500.0;0.78;0.39
João;500.0;0.25;0.6
﻿Mafalda;500.0;1.0;0.57
Ana;500.0;0.1;1.0
Maria;500.0;0.3;1.0
Emanuel;500.0;0.99;0.48
Duarte;500.0;0.67;0.39
