Iteration 1
GamingReplay;2;2
Bertrand;2;2
IKEA;2;1
McDonalds;2;0
Leonor;500.0;0.45;1.0
﻿Fnac;2;2
Zara;2;2
Gustavo;500.0;0.8;1.0
Henrique;500.0;0.6;0.65
Afonso;500.0;0.36;1.0
Sónia;500.0;0.91;1.0
Manel;500.0;0.8;0.65
Diogo;500.0;0.81;0.65
Mariana;500.0;0.1;1.0
Pedro;500.0;0.28;0.6
Marisa;500.0;0.4;1.0
Chico;500.0;0.2;0.65
Ricardo;500.0;0.5;1.0
Carolina;500.0;0.89;1.0
Sara;500.0;0.78;0.65
﻿Mafalda;500.0;1.0;1.0
Ana;500.0;0.1;0.6
Maria;500.0;0.3;1.0
João;500.0;0.25;0.6
Emanuel;500.0;0.99;1.0
Duarte;500.0;0.67;0.65
Iteration 2
GamingReplay;2;1
Bertrand;2;1
IKEA;2;1
McDonalds;2;0
Gustavo;500.0;0.8;1.0
Leonor;500.0;0.45;1.0
Henrique;500.0;0.6;0.65
Afonso;500.0;0.36;1.0
Mariana;500.0;0.1;1.0
Sónia;500.0;0.91;1.0
Manel;500.0;0.8;0.48
Marisa;500.0;0.4;0.6
Diogo;500.0;0.81;0.65
Chico;500.0;0.2;0.48
Pedro;500.0;0.28;0.6
Carolina;500.0;0.89;1.0
Sara;500.0;0.78;0.65
Ricardo;500.0;0.5;0.6
João;500.0;0.25;0.6
﻿Fnac;2;1
﻿Mafalda;500.0;1.0;1.0
Zara;2;1
Maria;500.0;0.3;1.0
Emanuel;500.0;0.99;1.0
Ana;500.0;0.1;0.4
Duarte;500.0;0.67;0.65
Iteration 3
GamingReplay;2;1
Bertrand;2;1
IKEA;2;1
McDonalds;2;0
Leonor;500.0;0.45;1.0
Zara;2;1
﻿Fnac;2;1
Gustavo;500.0;0.8;1.0
Afonso;500.0;0.36;1.0
Henrique;500.0;0.6;0.65
Sónia;500.0;0.91;1.0
Diogo;500.0;0.81;0.65
Manel;500.0;0.8;0.39
Mariana;500.0;0.1;1.0
Marisa;500.0;0.4;0.4
Chico;500.0;0.2;0.39
Pedro;500.0;0.28;0.6
Ricardo;500.0;0.5;0.4
Carolina;500.0;0.89;1.0
Sara;500.0;0.78;0.65
João;500.0;0.25;0.6
Ana;500.0;0.1;0.3
Maria;500.0;0.3;1.0
﻿Mafalda;500.0;1.0;1.0
Emanuel;500.0;0.99;1.0
Duarte;500.0;0.67;0.65
Iteration 1
GamingReplay;1;1
Bertrand;1;1
IKEA;1;1
﻿Fnac;1;1
McDonalds;1;0
Zara;1;1
Leonor;500.0;0.45;1.0
Gustavo;500.0;0.8;0.65
Henrique;500.0;0.6;1.0
Manel;500.0;0.8;0.65
Mariana;500.0;0.1;1.0
Afonso;500.0;0.36;1.0
Diogo;500.0;0.81;0.65
Pedro;500.0;0.28;1.0
Marisa;500.0;0.4;1.0
Chico;500.0;0.2;1.0
Ricardo;500.0;0.5;1.0
João;500.0;0.25;1.0
Carolina;500.0;0.89;1.0
Sara;500.0;0.78;1.0
Maria;500.0;0.3;0.57
﻿Mafalda;500.0;1.0;1.0
Ana;500.0;0.1;0.6
Duarte;500.0;0.67;1.0
Sónia;500.0;0.91;1.0
Emanuel;500.0;0.99;1.0
Iteration 2
GamingReplay;1;1
Bertrand;1;1
IKEA;1;1
McDonalds;1;0
﻿Fnac;1;1
Gustavo;500.0;0.8;0.65
Leonor;500.0;0.45;1.0
Henrique;500.0;0.6;1.0
Afonso;500.0;0.36;1.0
Sónia;500.0;0.91;1.0
Diogo;500.0;0.81;0.48
Manel;500.0;0.8;0.48
Mariana;500.0;0.1;1.0
Marisa;500.0;0.4;1.0
Pedro;500.0;0.28;0.6
Chico;500.0;0.2;0.65
Ricardo;500.0;0.5;1.0
Carolina;500.0;0.89;1.0
João;500.0;0.25;1.0
Sara;500.0;0.78;1.0
Maria;500.0;0.3;0.57
Emanuel;500.0;0.99;1.0
﻿Mafalda;500.0;1.0;1.0
Ana;500.0;0.1;0.4
Duarte;500.0;0.67;1.0
Zara;1;1
Iteration 3
Gustavo;500.0;0.8;0.65
Leonor;500.0;0.45;1.0
Henrique;500.0;0.6;1.0
Afonso;500.0;0.36;1.0
Manel;500.0;0.8;0.39
Sónia;500.0;0.91;1.0
Marisa;500.0;0.4;0.6
Pedro;500.0;0.28;0.6
Mariana;500.0;0.1;0.65
Ricardo;500.0;0.5;1.0
Diogo;500.0;0.81;0.48
Chico;500.0;0.2;0.48
Carolina;500.0;0.89;1.0
Sara;500.0;0.78;1.0
João;500.0;0.25;1.0
GamingReplay;1;1
﻿Mafalda;500.0;1.0;1.0
Maria;500.0;0.3;0.57
Ana;500.0;0.1;0.3
Emanuel;500.0;0.99;1.0
IKEA;1;1
Bertrand;1;1
McDonalds;1;0
﻿Fnac;1;1
Zara;1;1
Duarte;500.0;0.67;1.0
